link_properti;nama_properti;alamat;kelurahan;kecamatan;kota;provinsi;jenis_kost;fasilitas_gedung;tipe_kamar;room_area;harga_room_bulanan
https://infokost.id/listing/ruoptions-heef-residence-pasar-baru/;Heef Residence Pasar Baru;Jl. Samanhudi No.3, RT.3/RW.6, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710;PASAR BARU;SAWAH BESAR;KOTA JAKARTA PUSAT;DKI JAKARTA;Kost Campur;Area parkir-CCTV-Cleaning service-Dispenser-Laundry-Lift-Ruang santai / ruang tamu-Wifi-  Supermarket-  Sekolah-  Rumah Sakit-  Rumah Makan-  Mall-  Kampus-  Halte Bus;Compact Twin;5;4500000
https://infokost.id/listing/ruoptions-heef-residence-pasar-baru/;Heef Residence Pasar Baru;Jl. Samanhudi No.3, RT.3/RW.6, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710;PASAR BARU;SAWAH BESAR;KOTA JAKARTA PUSAT;DKI JAKARTA;Kost Campur;Area parkir-CCTV-Cleaning service-Dispenser-Laundry-Lift-Ruang santai / ruang tamu-Wifi-  Supermarket-  Sekolah-  Rumah Sakit-  Rumah Makan-  Mall-  Kampus-  Halte Bus;Master Queen A;6;5500000
https://infokost.id/listing/ruoptions-heef-residence-pasar-baru/;Heef Residence Pasar Baru;Jl. Samanhudi No.3, RT.3/RW.6, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710;PASAR BARU;SAWAH BESAR;KOTA JAKARTA PUSAT;DKI JAKARTA;Kost Campur;Area parkir-CCTV-Cleaning service-Dispenser-Laundry-Lift-Ruang santai / ruang tamu-Wifi-  Supermarket-  Sekolah-  Rumah Sakit-  Rumah Makan-  Mall-  Kampus-  Halte Bus;Master Queen B;6;4000000
https://infokost.id/listing/ruoptions-heef-residence-pasar-baru/;Heef Residence Pasar Baru;Jl. Samanhudi No.3, RT.3/RW.6, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710;PASAR BARU;SAWAH BESAR;KOTA JAKARTA PUSAT;DKI JAKARTA;Kost Campur;Area parkir-CCTV-Cleaning service-Dispenser-Laundry-Lift-Ruang santai / ruang tamu-Wifi-  Supermarket-  Sekolah-  Rumah Sakit-  Rumah Makan-  Mall-  Kampus-  Halte Bus;Master Twin A;6;5500000
https://infokost.id/listing/ruoptions-heef-residence-pasar-baru/;Heef Residence Pasar Baru;Jl. Samanhudi No.3, RT.3/RW.6, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710;PASAR BARU;SAWAH BESAR;KOTA JAKARTA PUSAT;DKI JAKARTA;Kost Campur;Area parkir-CCTV-Cleaning service-Dispenser-Laundry-Lift-Ruang santai / ruang tamu-Wifi-  Supermarket-  Sekolah-  Rumah Sakit-  Rumah Makan-  Mall-  Kampus-  Halte Bus;Master Twin B;6;4000000
https://infokost.id/listing/ruoptions-heef-residence-pasar-baru/;Heef Residence Pasar Baru;Jl. Samanhudi No.3, RT.3/RW.6, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710;PASAR BARU;SAWAH BESAR;KOTA JAKARTA PUSAT;DKI JAKARTA;Kost Campur;Area parkir-CCTV-Cleaning service-Dispenser-Laundry-Lift-Ruang santai / ruang tamu-Wifi-  Supermarket-  Sekolah-  Rumah Sakit-  Rumah Makan-  Mall-  Kampus-  Halte Bus;Executive King;6;5500000
https://infokost.id/listing/ruoptions-arco-residence-cipete/;Arco Residence Cipete;Jalan Arco Raya No 34 RT 004/ 01, Kelurahan Cipete Selatan, Kecamatan Cilandak, Jakarta Selatan;CIPETE SELATAN;CILANDAK;KOTA JAKARTA SELATAN;DKI JAKARTA;Kost Campur;Area makan-Area parkir-CCTV-Cleaning service-Dapur-Dispenser-Kompor-Kulkas-  Supermarket-  Sekolah-  Rumah Sakit-  Rumah Makan-  Mall-  Kampus-  Halte Bus;Compact Queen;12;2700000
https://infokost.id/listing/ruoptions-arco-residence-cipete/;Arco Residence Cipete;Jalan Arco Raya No 34 RT 004/ 01, Kelurahan Cipete Selatan, Kecamatan Cilandak, Jakarta Selatan;CIPETE SELATAN;CILANDAK;KOTA JAKARTA SELATAN;DKI JAKARTA;Kost Campur;Area makan-Area parkir-CCTV-Cleaning service-Dapur-Dispenser-Kompor-Kulkas-  Supermarket-  Sekolah-  Rumah Sakit-  Rumah Makan-  Mall-  Kampus-  Halte Bus;Regular Queen;5;2900000
https://infokost.id/listing/kost-grinting-kebayoran-baru-jakarta-selatan/;Kost Grinting Kebayoran Baru Jakarta Selatan;JL. Grinting 2 No.20 Rt.5/Rw.5 Pulo, Kebayoran baru, Jakarta Selatan;PULO;KEBAYORAN BARU;KOTA JAKARTA SELATAN;DKI JAKARTA;Kost Campur;AC-Area parkir-Dapur-Jendela Menghadap Luar-Kulkas-Wifi-Stasiun MRT Blok A-Stasiun MRT M BCA-Blok M Square-ITC Fatmawati;A1;12;2000000
https://infokost.id/listing/kost-grinting-kebayoran-baru-jakarta-selatan/;Kost Grinting Kebayoran Baru Jakarta Selatan;JL. Grinting 2 No.20 Rt.5/Rw.5 Pulo, Kebayoran baru, Jakarta Selatan;PULO;KEBAYORAN BARU;KOTA JAKARTA SELATAN;DKI JAKARTA;Kost Campur;AC-Area parkir-Dapur-Jendela Menghadap Luar-Kulkas-Wifi-Stasiun MRT Blok A-Stasiun MRT M BCA-Blok M Square-ITC Fatmawati;A;12;2250000
