link_properti;nama_properti;alamat;kelurahan;kecamatan;kota;provinsi;jenis_kost;fasilitas_gedung;tipe_kamar;room_area;harga_room_bulanan
https://infokost.id/listing/reddorz-near-amplas/;Reddorz near amplas;Jl. Ori II No.8, Papringan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia;CATUR TUNGGAL;DEPOK;KABUPATEN SLEMAN;DI YOGYAKARTA;Kost Campur;Area parkir-CCTV-Cleaning service-Ruang santai / ruang tamu-Wifi-Universitas Gadjah Mada-UIN Sunan Kalijaga Yogyakarta-Bandar Udara Internasional Adisutjipto-Kampus I Mrican – Universitas Sanata Dharma;Tipe B;12;2700000
https://infokost.id/listing/kost-bapak-sumargono/;Kost Bapak Sumargono;Jl. Janti Karangjambe G. Ontoseno RT.04/19 No.96 Banguntapan Bantul;BANGUNTAPAN;BANGUNTAPAN;KABUPATEN BANTUL;DI YOGYAKARTA;Kost Putra;Area parkir-CCTV-Wifi-Bandar Udara Internasional Adisutjipto-Poltekkes TNI AU Adisutjipto Yogyakarta-UIN Sunan Kalijaga Yogyakarta;Standard;9;300000
https://infokost.id/listing/omah-sukun-jogja/;Omah Sukun Jogja;Gg. Garuda No.23, Modalan, Banguntapan, Kec. Banguntapan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55198;BANGUNTAPAN;BANGUNTAPAN;KABUPATEN BANTUL;DI YOGYAKARTA;Kost Campur;Area parkir-CCTV-Ruang santai / ruang tamu-Bandar Udara Internasional Adisutjipto-Universitas Teknologi Digital Indonesia (UTDI)-Museum Pusat TNI AU Dirgantara Mandala-UIN Sunan Kalijaga Yogyakarta-Gembira Loka Zoo;Standard A;16;1800000
https://infokost.id/listing/omah-sukun-jogja/;Omah Sukun Jogja;Gg. Garuda No.23, Modalan, Banguntapan, Kec. Banguntapan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55198;BANGUNTAPAN;BANGUNTAPAN;KABUPATEN BANTUL;DI YOGYAKARTA;Kost Campur;Area parkir-CCTV-Ruang santai / ruang tamu-Bandar Udara Internasional Adisutjipto-Universitas Teknologi Digital Indonesia (UTDI)-Museum Pusat TNI AU Dirgantara Mandala-UIN Sunan Kalijaga Yogyakarta-Gembira Loka Zoo;Standard B;16;1600000
https://infokost.id/listing/dzawani-kost-eksklusif-rajawali/;Dzawani Kost Eksklusif Rajawali;Jl. Rajawali No.84, Manukan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281;CONDONG CATUR;DEPOK;KABUPATEN SLEMAN;DI YOGYAKARTA;Kost Putri;Area parkir-CCTV-Cleaning service-Dapur-Dispenser-Kompor-Kulkas-Lift-Stadion Maguwoharjo-Rumah Sakit JIH-Alfamart-Universitas Pembangunan Nasional Veteran Yogyakarta-PLN Gardu Induk Kentungan;Tipe A;12;2250000
https://infokost.id/listing/kost-lestari/;Kost LESTARI;Jl. Ireda No. 87, Keparakan Lor, Gondokusuman, Yogyakarta;KEPARAKAN;MERGANGSAN;KOTA YOGYAKARTA;DI YOGYAKARTA;Kost Putra;Area parkir-CCTV-Cleaning service-Dapur-Dispenser-Kulkas-Laundry-Meja kompor;Tipe A;5;1200000
https://infokost.id/listing/kost-lestari/;Kost LESTARI;Jl. Ireda No. 87, Keparakan Lor, Gondokusuman, Yogyakarta;KEPARAKAN;MERGANGSAN;KOTA YOGYAKARTA;DI YOGYAKARTA;Kost Putra;Area parkir-CCTV-Cleaning service-Dapur-Dispenser-Kulkas-Laundry-Meja kompor;Tipe B;9;1100000
https://infokost.id/listing/kost-lestari/;Kost LESTARI;Jl. Ireda No. 87, Keparakan Lor, Gondokusuman, Yogyakarta;KEPARAKAN;MERGANGSAN;KOTA YOGYAKARTA;DI YOGYAKARTA;Kost Putra;Area parkir-CCTV-Cleaning service-Dapur-Dispenser-Kulkas-Laundry-Meja kompor;Tipe C;25;900000
https://infokost.id/listing/kost-eksklusif-omah-margodadi-jogja/;Kost Eksklusif Omah Margodadi Jogja;Gg.Mawar No.4 ,ngropoh Condongcatur Kec.Depok Kab.Sleman DIY 55283;CONDONG CATUR;DEPOK;KABUPATEN SLEMAN;DI YOGYAKARTA;Kost Campur;Area parkir-CCTV-Dapur-Ruang santai / ruang tamu-University of Mercu Buana Campus II, Yogyakarta-UPN “Veteran” Yogyakarta-University of Amikom Yogyakarta-Gaol Futsal, Pool n Lounge;Standard;16;1750000
https://infokost.id/listing/indokosmansion/;Indokosmansion;Jl. Mangga No.95, Ngabean Wetan, Sinduharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281;SINDUHARJO;NGAGLIK;KABUPATEN SLEMAN;DI YOGYAKARTA;Kost Campur;Area parkir-Cleaning service-Dapur-Rooftop-Ruang santai / ruang tamu-Wifi-Apotek-Rumah Sakit JIH-RS Condong Catur-Coffe Shop-Warung Makan;Tipe A;9;1600000
